"area_code","地域","総面積","人口総数","昼間人口","世帯数"
"40101","門司区",7367,99637,97946,43082
"40103","若松区",7131,82844,82591,33692
"40105","戸畑区",1661,59116,70519,27797
"40106","小倉北区",3923,181878,224589,91253
"40107","小倉南区",17174,212850,190913,88497
"40108","八幡東区",3626,68844,73391,31442
"40109","八幡西区",8313,256117,243568,110562
"40131","東区",6936,306015,303352,141682
"40132","博多区",3163,228441,381926,138832
"40133","中央区",1540,192688,296992,116186
"40134","南区",3098,255797,223162,119637
"40135","西区",8417,206868,183179,88142
"40136","城南区",1599,130995,119555,64606
"40137","早良区",9587,217877,196052,95735
"40202","大牟田市",8145,117360,122659,49398
"40203","久留米市",22996,304552,303181,121913
"40204","直方市",6176,57146,60081,23281
"40205","飯塚市",21407,129146,131091,54732
"40206","田川市",5455,48441,52786,20955
"40207","柳川市",7715,67777,62633,23453
"40211","筑後市",4178,48339,46575,17379
"40212","大川市",3362,34838,35469,12709
"40213","行橋市",7005,70586,64607,28648
"40214","豊前市",11110,25940,26895,10070
"40215","中間市",1596,41796,36196,17414
"40216","小郡市",4551,57983,48145,20964
"40217","筑紫野市",8773,101081,88590,39350
"40218","春日市",1415,110743,86438,43720
"40219","大野城市",2689,99525,84244,39885
"40221","太宰府市",2960,72168,66617,29107
"40223","古賀市",4207,57959,55291,22320
"40224","福津市",5276,58781,49624,22272
"40225","うきは市",11746,29509,26861,9940
"40226","宮若市",13999,28112,35445,10737
"40227","嘉麻市",13511,38743,35417,15637
"40228","朝倉市",24671,52444,56085,19088
"40229","みやま市",10521,38139,33453,12941
"40305","那珂川町",7495,50004,41612,18291
"40341","宇美町",3021,37927,32608,13119
"40342","篠栗町",3893,31210,25469,11539
"40343","志免町",869,45256,38831,17591
"40344","須恵町",1631,27263,24057,9919
"40345","新宮町",1893,30344,30332,10946
"40348","久山町",3744,8225,10846,2825
"40349","粕屋町",1413,45360,41226,18005
"40381","芦屋町",1160,14208,12612,5573
"40382","水巻町",1101,28997,24393,12220
"40383","岡垣町",4864,31580,24843,11784
"40384","遠賀町",2215,18877,17386,7269
"40401","小竹町",1418,7810,7632,3331
"40402","鞍手町",3560,16007,15345,6393
"40421","桂川町",2014,13496,10694,5226
"40447","筑前町",6710,29306,23649,9767
"40448","東峰村",5197,2174,1946,742
"40503","大刀洗町",2284,15138,12954,5008
"40522","大木町",1844,14176,11600,4556
"40544","広川町",3794,20183,19425,7007
"40601","香春町",4450,10861,9947,4429
"40602","添田町",13220,9924,8305,4029
"40604","糸田町",804,9020,7087,3814
"40605","川崎町",3614,16789,15052,7349
"40608","大任町",1426,5176,4531,2052
"40609","赤村",3198,3022,2554,1127
"40621","苅田町",4888,34963,42396,15341
"40625","みやこ町",15134,20243,18539,7527
"40642","吉富町",572,6627,5944,2589
"40646","上毛町",6244,7458,6537,2791
"40647","築上町",11961,18587,16542,7250
